iter	RMSE
0	16.82807909
1	16.55656007
2	16.29366035
3	16.02444099
4	15.7919726
5	15.54451608
6	15.29728256
7	15.05665913
8	14.83410758
9	14.60149081
10	14.38914676
11	14.16057793
12	13.92882569
13	13.70382551
14	13.48215739
15	13.28612916
16	13.08972864
17	12.88846867
18	12.70198024
19	12.51018453
20	12.33659913
21	12.154297
22	11.99576567
23	11.81411441
24	11.63479446
25	11.46284638
26	11.30126292
27	11.13297521
28	10.97744857
29	10.81610592
30	10.67421558
31	10.52289892
32	10.3733173
33	10.2480433
34	10.11567293
35	9.977563329
36	9.844811478
37	9.715329282
38	9.567892442
39	9.448701423
40	9.317622237
41	9.186091293
42	9.060399072
43	8.938752162
44	8.826674958
45	8.712176849
46	8.591504245
47	8.482212448
48	8.386435136
49	8.267264302
50	8.163925432
51	8.043984202
52	7.932699135
53	7.824483925
54	7.712912621
55	7.606110493
56	7.524661412
57	7.430823945
58	7.33926305
59	7.25014772
60	7.163574329
61	7.063154034
62	6.992485218
63	6.903758655
64	6.823908236
65	6.734077237
66	6.651188352
67	6.567861977
68	6.489277493
69	6.411339292
70	6.33578051
71	6.254608296
72	6.182271546
73	6.109427795
74	6.045935236
75	5.983831947
76	5.917473839
77	5.852418907
78	5.784379141
79	5.723570439
80	5.651691949
81	5.596132084
82	5.532289746
83	5.464699934
84	5.404125523
85	5.352824728
86	5.285210497
87	5.227777114
88	5.174078652
89	5.124121961
90	5.071791242
91	5.01142132
92	4.95914026
93	4.907440364
94	4.867466948
95	4.809795617
96	4.75791109
97	4.702229551
98	4.660247941
99	4.616893956
100	4.56251096
101	4.511253797
102	4.467435361
103	4.414368237
104	4.374865295
105	4.324196156
106	4.282342669
107	4.240245275
108	4.19899421
109	4.155148482
110	4.114918223
111	4.076532647
112	4.042097236
113	3.999927488
114	3.964129334
115	3.931503682
116	3.891408969
117	3.856542574
118	3.818848999
119	3.788814133
120	3.74919186
121	3.715579878
122	3.68598815
123	3.649855691
124	3.621853539
125	3.603435138
126	3.57678899
127	3.541547504
128	3.516323065
129	3.490245279
130	3.45423448
131	3.425670317
132	3.397513674
133	3.370774375
134	3.344329281
135	3.31536653
136	3.290337954
137	3.265901357
138	3.23468417
139	3.212739596
140	3.188859719
141	3.168017519
142	3.144263404
143	3.1216301
144	3.092723668
145	3.06986907
146	3.042344577
147	3.020926271
148	3.000699304
149	2.971831512
150	2.946047463
151	2.926709174
152	2.909506728
153	2.884440366
154	2.868826498
155	2.851114876
156	2.833686319
157	2.808356202
158	2.781881175
159	2.765154275
160	2.740423383
161	2.724339925
162	2.705147222
163	2.68022124
164	2.661089539
165	2.649188635
166	2.632326363
167	2.611137534
168	2.594020238
169	2.578479054
170	2.561674921
171	2.550665618
172	2.537848346
173	2.521282557
174	2.497777474
175	2.482251377
176	2.47096754
177	2.457891959
178	2.442630891
179	2.429255136
180	2.414027666
181	2.404110985
182	2.382955829
183	2.363833862
184	2.343893119
185	2.325567774
186	2.313047222
187	2.303617523
188	2.284124939
189	2.269818117
190	2.252073863
191	2.241474237
192	2.23221578
193	2.216765202
194	2.20466927
195	2.197685745
196	2.189543486
197	2.180171249
198	2.168776316
199	2.158272453
200	2.148230614
201	2.136716843
202	2.125919942
203	2.110446583
204	2.100032166
205	2.082393365
206	2.070085108
207	2.0595856
208	2.054241057
209	2.045002884
210	2.034294714
211	2.028763701
212	2.023077827
213	2.009170027
214	2.000503534
215	1.98654063
216	1.981330619
217	1.972854461
218	1.966593041
219	1.951717818
220	1.937791139
221	1.93230696
222	1.92118709
223	1.909555967
224	1.900520111
225	1.890156648
226	1.883698877
227	1.879827443
228	1.864884105
229	1.855379656
230	1.850452024
231	1.841290933
232	1.827040434
233	1.820937021
234	1.817114234
235	1.813225334
236	1.809946471
237	1.798394672
238	1.787871715
239	1.784325134
240	1.776733037
241	1.770450415
242	1.767186348
243	1.76400405
244	1.75868134
245	1.750639991
246	1.738889665
247	1.73560273
248	1.732897053
249	1.721931746
250	1.719112303
251	1.704987046
252	1.694739905
253	1.683796253
254	1.670821137
255	1.666301195
256	1.658384864
257	1.654111534
258	1.642784188
259	1.63065736
260	1.624170561
261	1.611430145
262	1.605240972
263	1.598512944
264	1.59449394
265	1.592407229
266	1.586367056
267	1.583756959
268	1.578390496
269	1.56830988
270	1.563078404
271	1.555122487
272	1.543572362
273	1.540103034
274	1.536320466
275	1.527527605
276	1.525168593
277	1.517355561
278	1.505935121
279	1.503678406
280	1.497345966
281	1.491639469
282	1.488567144
283	1.485018009
284	1.480704981
285	1.475431481
286	1.471280101
287	1.464290314
288	1.459087808
289	1.457491952
290	1.451187926
291	1.445997687
292	1.438512122
293	1.436666924
294	1.432798398
295	1.427877278
296	1.422998942
297	1.421267928
298	1.412014387
299	1.411123115
300	1.405454575
301	1.40324953
302	1.397761648
303	1.394001617
304	1.387406174
305	1.37806412
306	1.371445101
307	1.369620892
308	1.368699831
309	1.366681603
310	1.359958898
311	1.358278915
312	1.356732527
313	1.3506675
314	1.346431595
315	1.344152008
316	1.337481136
317	1.329809286
318	1.325565574
319	1.323434492
320	1.314583205
321	1.305840558
322	1.304829595
323	1.295330287
324	1.293343118
325	1.291039586
326	1.289350945
327	1.288238161
328	1.282095439
329	1.278034723
330	1.277346849
331	1.275791356
332	1.274217319
333	1.269339716
334	1.260615391
335	1.258909457
336	1.257977179
337	1.251530364
338	1.248488158
339	1.241786532
340	1.233915107
341	1.232203186
342	1.229515892
343	1.223913585
344	1.22286854
345	1.222305021
346	1.214108195
347	1.209129453
348	1.20812358
349	1.199104155
350	1.194725851
351	1.19305883
352	1.188407373
353	1.186936495
354	1.183253214
355	1.178966328
356	1.177343928
357	1.174844312
358	1.170230312
359	1.167869616
360	1.167029637
361	1.162700429
362	1.153057914
363	1.146496459
364	1.138359816
365	1.129935002
366	1.129388868
367	1.128668122
368	1.128068483
369	1.127425335
370	1.121262327
371	1.120530015
372	1.119813373
373	1.114767972
374	1.109510507
375	1.10429584
376	1.101753326
377	1.101055247
378	1.099726416
379	1.098975427
380	1.096581596
381	1.089679636
382	1.08829359
383	1.087810613
384	1.081828892
385	1.081005676
386	1.08029723
387	1.074276248
388	1.073641601
389	1.068808082
390	1.066318767
391	1.065201659
392	1.059553603
393	1.054131855
394	1.048873404
395	1.043831711
396	1.039686358
397	1.034661822
398	1.030234943
399	1.024039669
400	1.022639045
401	1.019321079
402	1.018698202
403	1.016371599
404	1.014087365
405	1.007697153
406	1.005242585
407	0.997409974
408	0.996885931
409	0.9922986002
410	0.9892416558
411	0.9831840315
412	0.9801599892
413	0.9790710328
414	0.9758226493
415	0.9735145814
416	0.9728170405
417	0.9720170864
418	0.9702888263
419	0.9643350623
420	0.9590288548
421	0.9571865224
422	0.953242586
423	0.9519663398
424	0.9492744634
425	0.9476512003
426	0.943745438
427	0.9363576632
428	0.9310458889
429	0.9297925161
430	0.9268880834
431	0.9263891911
432	0.9260154186
433	0.9247836212
434	0.9244333206
435	0.9240934884
436	0.9181425137
437	0.9169646294
438	0.9119169484
439	0.9101875208
440	0.9039754816
441	0.9004916105
442	0.8997318333
443	0.8951936652
444	0.8947396073
445	0.8928574356
446	0.8921099635
447	0.8854107719
448	0.8808523952
449	0.8763792978
450	0.873476047
451	0.873138724
452	0.8728210416
453	0.8660728697
454	0.8635279033
455	0.8602911264
456	0.857231008
457	0.8505732132
458	0.8500054919
459	0.8495515327
460	0.8463320962
461	0.8416119712
462	0.841141473
463	0.8370170391
464	0.8330354558
465	0.8277757593
466	0.8242163324
467	0.8209570135
468	0.8174621108
469	0.8168347396
470	0.8134464707
471	0.8126028917
472	0.8076718879
473	0.8056598728
474	0.8026167446
475	0.802252883
476	0.798605178
477	0.7979176634
478	0.7967465447
479	0.7921038779
480	0.7917961443
481	0.7886699492
482	0.7879010137
483	0.7861479405
484	0.7855269028
485	0.784192466
486	0.780377936
487	0.7773624685
488	0.7770981447
489	0.7767314309
490	0.7724051577
491	0.7720673298
492	0.7714937776
493	0.7706285917
494	0.7684536913
495	0.7663260869
496	0.7642172642
497	0.7590781882
498	0.7572190825
499	0.752468107
500	0.7521673549
501	0.7495463803
502	0.7492347665
503	0.7475639813
504	0.744633089
505	0.7401620091
506	0.7378962535
507	0.7368342728
508	0.7365691735
509	0.7362254534
510	0.7341111336
511	0.7327928867
512	0.7282698111
513	0.7262279643
514	0.7245502311
515	0.7242511322
516	0.7239477599
517	0.7222679481
518	0.7199775536
519	0.716438242
520	0.7136839164
521	0.7134385838
522	0.7127310529
523	0.712455763
524	0.7116436365
525	0.7104986414
526	0.7103080374
527	0.710059949
528	0.7065942954
529	0.7063372474
530	0.705717365
531	0.7027990913
532	0.7002010838
533	0.6968061993
534	0.6966043787
535	0.6963591631
536	0.6930598531
537	0.6929027661
538	0.6926635277
539	0.6895491647
540	0.6880995948
541	0.6875409895
542	0.6862183906
543	0.6858731473
544	0.6814857695
545	0.6810169405
546	0.6808257398
547	0.6804648709
548	0.6802434511
549	0.6784056079
550	0.6767233764
551	0.6753199708
552	0.6750594468
553	0.6720081289
554	0.6716871723
555	0.6697404153
556	0.6695357845
557	0.6686564313
558	0.6681589978
559	0.6673316138
560	0.6655046904
561	0.6638854689
562	0.661075333
563	0.6601312987
564	0.659615788
565	0.6559431051
566	0.6556674965
567	0.6553538998
568	0.6538123875
569	0.653666808
570	0.653294566
571	0.650686411
572	0.6496706606
573	0.6486746743
574	0.6479219612
575	0.6476152752
576	0.6467429131
577	0.6464574825
578	0.6463324704
579	0.6458525662
580	0.642011321
581	0.6385830205
582	0.6378683282
583	0.6366392854
584	0.6338371025
585	0.6336714797
586	0.630351551
587	0.627951907
588	0.6277386294
589	0.6258194795
590	0.624842742
591	0.6236011026
592	0.6223840775
593	0.6203982237
594	0.6202422414
595	0.6193921109
596	0.6155694266
597	0.6151945194
598	0.6128657629
599	0.6126872165
600	0.6125305615
601	0.6107828237
602	0.6105271406
603	0.6097931792
604	0.6096331773
605	0.6075063934
606	0.6073515218
607	0.6059702173
608	0.6058404481
609	0.6057007161
610	0.6055772817
611	0.6054361789
612	0.6053047853
613	0.6051670238
614	0.6050395015
615	0.6049240409
616	0.6047744777
617	0.6046520169
618	0.6045342525
619	0.6044269614
620	0.6043206164
621	0.6041831943
622	0.6040737376
623	0.6039198889
624	0.6035779503
625	0.602807821
626	0.6025679826
627	0.6024608177
628	0.6018329542
629	0.6010536072
630	0.5992936072
631	0.5977327091
632	0.5975330776
633	0.5974220324
634	0.5973091502
635	0.5972150581
636	0.5969823552
637	0.5965359615
638	0.5963239968
639	0.5961386367
640	0.5955767539
641	0.5954773999
642	0.5953836868
643	0.5952977675
644	0.5937267079
645	0.5935294422
646	0.5934456302
647	0.5923300595
648	0.5922324053
649	0.5913045394
650	0.5912187656
651	0.5903637772
652	0.5882924409
653	0.588212929
654	0.5880982039
655	0.5880008854
656	0.5878909873
657	0.5871551894
658	0.5870913073
659	0.5867525016
660	0.5866807862
661	0.5864313455
662	0.5845750631
663	0.5844948016
664	0.584415926
665	0.5838077522
666	0.5826466093
667	0.5823663801
668	0.5822510673
669	0.5821472286
670	0.5817249977
671	0.5792587373
672	0.5783106176
673	0.5782272149
674	0.5777702099
675	0.5769908947
676	0.5769099661
677	0.5748154571
678	0.5747387228
679	0.5746396584
680	0.5745701514
681	0.5740985484
682	0.5740222657
683	0.5730866327
684	0.5729784983
685	0.572917125
686	0.5719567085
687	0.5718771273
688	0.5718043174
689	0.5711296289
690	0.5709834608
691	0.5700014914
692	0.5692708851
693	0.5679803905
694	0.567018859
695	0.5651398794
696	0.5648250312
697	0.5647652785
698	0.5646861756
699	0.5638225832
700	0.56325419
701	0.5628474372
702	0.562790016
703	0.5622236331
704	0.5598386194
705	0.5586018003
706	0.5575858416
707	0.5575089847
708	0.5568512325
709	0.5549051553
710	0.554721433
711	0.5526658427
712	0.5526066243
713	0.5523622216
714	0.552079584
715	0.549972633
716	0.5485196103
717	0.5484713482
718	0.5482923971
719	0.5479395808
720	0.5464228779
721	0.5462302713
722	0.5461736553
723	0.5444835034
724	0.5444346004
725	0.5438732381
726	0.5434891343
727	0.5425896836
728	0.5421781362
729	0.5421101299
730	0.541602206
731	0.5397377779
732	0.5396804297
733	0.5395618475
734	0.5386208553
735	0.5369559829
736	0.5366643554
737	0.5366022263
738	0.5348323279
739	0.5347684787
740	0.5344045955
741	0.5312234408
742	0.5305637204
743	0.528695095
744	0.528148694
745	0.5280909225
746	0.5280379655
747	0.5262463106
748	0.5261881225
