iter	Passed	Remaining
0	4	4851
1	9	4507
2	13	4402
3	17	4364
4	21	4317
5	25	4281
6	30	4269
7	34	4263
8	38	4217
9	42	4183
10	46	4174
11	50	4144
12	54	4123
13	58	4153
14	63	4141
15	67	4123
16	71	4117
17	75	4105
18	79	4088
19	84	4124
20	88	4125
21	92	4129
22	96	4114
23	100	4096
24	105	4118
25	109	4103
26	113	4096
27	117	4084
28	121	4070
29	126	4077
30	130	4093
31	135	4111
32	140	4116
33	144	4110
34	149	4108
35	154	4133
36	159	4142
37	164	4164
38	169	4185
39	174	4199
40	180	4223
41	185	4228
42	190	4248
43	196	4262
44	201	4274
45	207	4297
46	212	4313
47	217	4320
48	223	4331
49	228	4337
50	233	4347
51	238	4355
52	243	4356
53	248	4356
54	253	4353
55	257	4347
56	262	4344
57	267	4339
58	272	4340
59	276	4334
60	281	4330
61	286	4331
62	291	4329
63	295	4326
64	300	4320
65	304	4314
66	309	4306
67	313	4298
68	318	4296
69	323	4293
70	327	4290
71	332	4283
72	336	4279
73	341	4276
74	346	4274
75	351	4268
76	355	4265
77	360	4265
78	365	4260
79	370	4258
80	375	4259
81	380	4255
82	384	4251
83	389	4248
84	394	4248
85	399	4243
86	403	4238
87	408	4237
88	413	4236
89	418	4230
90	423	4229
91	427	4223
92	432	4219
93	437	4213
94	441	4206
95	446	4201
96	451	4200
97	456	4200
98	461	4201
99	466	4197
100	470	4192
101	475	4182
102	479	4174
103	484	4170
104	488	4166
105	493	4162
106	498	4160
107	502	4153
108	507	4149
109	512	4149
110	517	4148
111	522	4144
112	528	4147
113	534	4150
114	539	4153
115	544	4152
116	549	4148
117	554	4148
118	560	4146
119	565	4144
120	570	4143
121	576	4146
122	581	4149
123	587	4149
124	592	4150
125	598	4148
126	603	4146
127	608	4146
128	614	4149
129	620	4150
130	625	4151
131	631	4152
132	637	4155
133	643	4158
134	648	4158
135	654	4155
136	659	4152
137	664	4150
138	669	4150
139	675	4150
140	680	4147
141	700	4234
142	719	4309
143	725	4310
144	730	4304
145	735	4301
146	740	4297
147	746	4295
148	751	4291
149	756	4286
150	761	4280
151	766	4275
152	771	4269
153	775	4262
154	780	4256
155	785	4250
156	790	4245
157	796	4242
158	801	4237
159	806	4232
160	811	4228
161	816	4221
162	821	4220
163	827	4219
164	832	4214
165	837	4208
166	842	4203
167	847	4196
168	852	4191
169	856	4183
170	861	4177
171	866	4170
172	870	4163
173	875	4156
174	880	4151
175	885	4145
176	890	4139
177	895	4133
178	899	4127
179	904	4120
180	909	4115
181	914	4108
182	918	4100
183	923	4096
184	928	4090
185	933	4083
186	937	4077
187	942	4070
188	947	4063
189	951	4058
190	957	4053
191	961	4045
192	966	4039
193	970	4032
194	975	4026
195	980	4020
196	984	4014
197	989	4007
198	994	4001
199	999	3996
200	1004	3991
201	1008	3985
202	1013	3978
203	1018	3972
204	1023	3967
